year,home_team,away_team,home_goals,away_goals,stage,match_result,host_country,home_is_host,away_is_host,stage_num,is_knockout,HTGS,ATGS,HTGC,ATGC,HTP,ATP,home_gpg,away_gpg,home_gcpg,away_gcpg,goal_diff,concede_diff,points_diff,gpg_diff,gcpg_diff,home_form,away_form,form_diff,home_elo,away_elo,elo_diff,h2h_home_win_rate,home_conf_strength,away_conf_strength,conf_strength_diff,home_wc_exp,away_wc_exp,wc_exp_diff,stage_num,is_knockout,home_is_host,away_is_host
1934,Switzerland,Netherlands,3,2,round_of_16,H,Italy,0,0,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1.0,0.0,1500.0,1500.0,0.0,0.33,0.72,0.72,0.0,0,0,0,2,1,0,0
1934,Sweden,Argentina,3,2,round_of_16,H,Italy,0,0,2,1,0,18,0,9,0,12,0.0,3.6,0.0,1.8,-18,-9,-12,-3.6,-1.8,1.0,2.0699339703118467,-1.0699339703118467,1500.0,1540.0188983354146,-40.01889833541463,0.33,0.72,0.68,0.039999999999999925,0,1,-1,2,1,0,0
1934,Germany,Belgium,5,2,round_of_16,H,Italy,0,0,2,1,0,0,0,4,0,0,0.0,0.0,0.0,2.0,0,-4,0,0.0,-2.0,1.0,0.0,1.0,1500.0,1468.0339081301693,31.966091869830734,0.33,0.72,0.72,0.0,0,1,-1,2,1,0,0
1934,Spain,Brazil,3,1,round_of_16,H,Italy,0,0,2,1,0,5,0,2,0,3,0.0,2.5,0.0,1.0,-5,-2,-3,-2.5,-1.0,1.0,2.193175735890015,-1.1931757358900148,1500.0,1500.0339081301693,-0.03390813016926586,0.33,0.72,0.68,0.039999999999999925,0,1,-1,2,1,0,0
1934,Italy,USA,7,1,round_of_16,H,Italy,1,0,2,1,0,7,0,6,0,6,0.0,2.333,0.0,2.0,-7,-6,-6,-2.333,-2.0,1.0,1.4805588268330379,-0.48055882683303786,1500.0,1504.493961901687,-4.493961901687044,0.33,0.72,0.72,0.0,0,1,-1,2,1,1,0
1934,Czechoslovakia,Romania,2,1,round_of_16,H,Italy,0,0,2,1,0,3,0,5,0,3,0.0,1.5,0.0,2.5,-3,-5,-3,-1.5,-2.5,1.0,0.8068242641099854,0.19317573589001458,1500.0,1499.9660918698307,0.03390813016926586,0.33,0.72,0.72,0.0,0,1,-1,2,1,0,0
1934,Czechoslovakia,Switzerland,3,2,quarter_final,H,Italy,0,0,3,1,2,3,1,2,3,3,2.0,3.0,1.0,2.0,-1,-1,0,-1.0,-1.0,3.0,3.0,0.0,1519.9999024045562,1520.0,-9.759544377629936e-05,0.33,0.72,0.72,0.0,0,0,0,3,1,0,0
1934,Germany,Sweden,2,1,quarter_final,H,Italy,0,0,3,1,5,3,2,2,3,3,5.0,3.0,2.0,2.0,2,0,0,2.0,0.0,3.0,3.0,0.0,1519.9079948407482,1520.115182374971,-0.20718753422283953,0.33,0.72,0.72,0.0,0,0,0,3,1,0,0
1934,Italy,Spain,1,1,quarter_final,D,Italy,1,0,3,1,7,3,1,1,3,3,7.0,3.0,1.0,1.0,4,0,0,4.0,0.0,3.0,3.0,0.0,1520.0129346603007,1520.0000975954438,0.012837064856967118,0.33,0.72,0.72,0.0,0,0,0,3,1,1,0
1934,Austria,Hungary,2,1,quarter_final,H,Italy,0,0,3,1,3,4,2,2,3,3,3.0,4.0,2.0,2.0,-1,0,0,-1.0,0.0,3.0,3.0,0.0,1519.953948379527,1520.0,-0.04605162047300837,0.33,0.72,0.72,0.0,0,0,0,3,1,0,0
1934,Italy,Spain,1,0,quarter_final,H,Italy,1,0,3,1,8,4,2,2,4,4,4.0,2.0,1.0,1.0,4,0,0,2.0,0.0,1.5378828427399902,1.5378828427399902,0.0,1520.012047907276,1520.0009843484686,0.011063558807336449,0.0,0.72,0.72,0.0,0,0,0,3,1,1,0
